fund_code,fund_name,fund_type,manager,positioning,top_holdings,industry_allocation,one_year_return,volatility,max_drawdown,risk_level,suitable_clients
000101,示例AI科技成长混合,偏股混合,张晨,科技成长;AI;半导体;云计算,中际旭创;工业富联;寒武纪;海光信息,通信设备:30%;半导体:25%;计算机:20%;电子:10%,18.5%,28.0%,-22.0%,R4,风险承受能力较高且认可科技成长波动的客户
000102,示例算力基础设施股票,股票型,李明,AI;算力;数据中心;通信设备,新易盛;浪潮信息;中科曙光;紫光股份,通信设备:35%;计算机:28%;电子:12%;半导体:10%,22.0%,31.5%,-27.0%,R5,高风险承受能力且投资期限较长的客户
000103,示例高端制造精选混合,偏股混合,王蕾,高端装备;智能制造;机器人,汇川技术;绿的谐波;埃斯顿;三花智控,机械设备:35%;汽车零部件:18%;电子:12%;计算机:8%,12.0%,24.0%,-19.0%,R4,能接受权益波动并关注制造升级主题的客户
000104,示例红利低波价值混合,混合型,周宁,红利;低波;价值;高股息,长江电力;中国神华;工商银行;中国移动,公用事业:26%;煤炭:20%;银行:18%;通信服务:10%,8.5%,12.0%,-8.0%,R3,偏稳健且关注分红和低波动配置的客户
000105,示例创新药产业股票,股票型,赵青,创新药;医药;生物科技,恒瑞医药;百济神州;药明康德;信达生物,医药生物:72%;医疗服务:8%;医疗器械:6%,6.0%,29.0%,-25.0%,R4,认可医药创新周期且能承受行业波动的客户
000106,示例均衡成长混合,偏股混合,陈安,均衡成长;科技;消费;制造,宁德时代;立讯精密;贵州茅台;腾讯控股,电子:18%;电力设备:18%;食品饮料:15%;计算机:10%,10.5%,20.0%,-16.0%,R3,希望均衡参与权益市场且风险承受能力中等的客户
000107,示例云计算产业混合,偏股混合,林峰,云计算;软件;AI应用,金山办公;用友网络;紫光股份;宝信软件,计算机:45%;云服务:20%;通信设备:10%;电子:8%,9.8%,26.0%,-21.0%,R4,看好软件云化和AI应用的成长型客户
000108,示例央企红利增强,指数增强,刘海,央国企;红利;高股息;低估值,中国移动;中国石油;长江电力;招商银行,通信服务:20%;银行:18%;石油石化:16%;公用事业:16%,11.0%,13.5%,-9.5%,R3,偏好稳健收益来源和分红资产的客户
000109,示例半导体先锋股票,股票型,孙琪,半导体;国产替代;科技成长,北方华创;中芯国际;兆易创新;韦尔股份,半导体:62%;电子:16%;计算机:6%,15.0%,34.0%,-30.0%,R5,高风险承受能力且认可半导体长期周期的客户
000110,示例稳健配置债券,债券型,何远,固收+;稳健;低波,国债;政策性金融债;短久期信用债,债券:82%;银行:5%;公用事业:4%,4.2%,4.8%,-2.5%,R2,低到中等风险承受能力且关注稳健配置的客户
000111,示例智能汽车机器人混合,偏股混合,马骏,机器人;智能汽车;AI硬件,拓普集团;鸣志电器;汇川技术;德赛西威,汽车零部件:28%;机械设备:24%;电子:16%;计算机:12%,14.5%,27.0%,-23.0%,R4,关注机器人和智能汽车产业链的成长型客户
000112,示例医药均衡配置混合,混合型,许宁,医药;医疗器械;创新药;稳健成长,迈瑞医疗;恒瑞医药;爱尔眼科;片仔癀,医药生物:48%;医疗器械:18%;医疗服务:12%,5.0%,20.0%,-15.0%,R3,中等风险承受能力且希望参与医药长期成长的客户
